strike,moneyness,market_mid,yf_iv,inTheMoney,bs_price_yf_iv,error_yf_iv,our_iv,iv_diff,bs_price_our_iv,error_our_iv,delta,gamma,theta,vega,rho,iv_error
350.0,0.76,112.85,0.5701,True,113.7706,0.9206,0.5016,-0.0686,112.85,0.0,0.9657,0.001033,-0.1082,0.1114,0.3364,
355.0,0.7709,108.025,0.5559,True,108.9443,0.9193,0.4932,-0.0628,108.025,0.0,0.9607,0.001174,-0.1159,0.1245,0.339,
370.0,0.8034,93.425,0.5038,True,94.3548,0.9298,0.4518,-0.052,93.425,0.0,0.9472,0.001625,-0.1302,0.1578,0.3475,
380.0,0.8252,83.875,0.5319,True,86.23,2.355,0.4308,-0.1012,83.875,0.0,0.9327,0.002061,-0.1452,0.1909,0.3504,
385.0,0.836,79.1,0.514,True,81.4772,2.3772,0.4183,-0.0957,79.1,0.0,0.9249,0.00231,-0.1516,0.2077,0.3516,
390.0,0.8469,74.425,0.497,True,76.7709,2.3459,0.4091,-0.0879,74.425,0.0,0.9145,0.002605,-0.1609,0.2291,0.3515,
395.0,0.8577,69.7,0.4808,True,72.1108,2.4108,0.3963,-0.0845,69.7,0.0,0.9046,0.002917,-0.1673,0.2486,0.3516,
400.0,0.8686,65.15,0.4651,True,67.4979,2.3479,0.3888,-0.0763,65.15,1e-06,0.8906,0.003286,-0.1783,0.2746,0.3497,
405.0,0.8794,60.675,0.4511,True,62.9788,2.3038,0.3816,-0.0695,60.675,0.0,0.8746,0.003688,-0.1898,0.3026,0.3468,
410.0,0.8903,56.275,0.4383,True,58.554,2.279,0.3745,-0.0638,56.275,0.0,0.8565,0.004122,-0.2013,0.3318,0.3428,
415.0,0.9012,52.0,0.4264,True,54.2249,2.2249,0.3685,-0.0579,52.0,0.0,0.8357,0.004582,-0.2136,0.363,0.3374,
420.0,0.912,47.825,0.4162,True,50.0397,2.2147,0.3625,-0.0537,47.825,0.0,0.8125,0.005063,-0.2255,0.3946,0.3308,
425.0,0.9229,43.875,0.4063,True,45.9507,2.0757,0.3592,-0.047,43.875,0.0,0.7855,0.00554,-0.239,0.4278,0.3222,
430.0,0.9337,39.95,0.3993,True,42.1031,2.1531,0.3534,-0.0459,39.95,0.0,0.7575,0.006034,-0.2494,0.4584,0.3131,
